geoid10,population,hospital,library,school,supermarket
245100105001005,31,1155.2,1230.7,371.3,660.5
245100105001006,48,1208.4,1164.8,424.2,726.4
245100105001007,55,1246.1,1135.4,461.9,756.5
245100105001008,82,1348.7,1222.3,564.7,664.7
245100105001009,106,1322.7,1247.6,538.7,671.8
245100105001010,89,1330.1,1427.9,323.1,367.7
245100105001011,122,1378.7,1375.5,376.2,420.8
245100105002000,135,1500.8,1255.0,498.0,542.5
245100105002001,108,1453.5,1256.6,496.5,541.1
245100105002002,24,1512.6,1337.4,415.7,460.2
245100105002003,80,1683.4,1352.9,499.0,543.6
245100105002004,61,1647.0,1316.5,462.6,507.2
245100105002005,94,1782.4,1379.1,598.1,417.6
245100105002006,30,1670.6,1381.5,485.3,415.1
245100105002007,11,1611.5,1442.5,424.3,354.1
245100105002008,81,1575.5,1386.8,391.1,435.7
245100105002009,44,1525.8,1438.5,340.5,385.1
245100105002010,43,1475.7,1490.1,287.4,332.0
245100105002011,38,1645.7,1529.8,458.5,319.5
245100105002012,14,1649.5,1481.5,462.3,315.5
245100105002013,32,1709.9,1419.6,524.1,376.2
245100105002014,47,1739.9,1447.9,554.1,346.8
245100105002015,36,1680.8,1510.0,493.6,285.9
245100201001000,86,1092.7,1318.9,308.7,645.7
245100201001001,23,880.2,1102.7,314.2,566.9
245100201001002,111,872.9,1094.3,422.3,436.8
245100201001004,114,919.4,1139.1,273.5,229.0
245100201001005,94,975.9,1194.0,269.3,283.8
245100201001006,97,1030.8,1250.2,324.3,338.8
245100201001007,100,968.7,1191.2,391.3,490.8
245100201001008,101,1165.5,1390.2,417.0,430.7
245100201002000,162,1262.5,1482.8,254.8,299.4
245100201002001,144,1183.7,1400.3,172.2,216.8
245100201002002,116,1127.9,1344.5,117.3,161.9
245100201002003,88,1072.4,1290.3,120.6,76.0
245100201002004,89,1218.4,1437.6,83.0,70.0
245100201002005,101,1276.0,1492.7,81.5,126.0
245100201002006,47,1314.6,1531.3,121.5,166.1
245100201002007,96,1415.6,1498.5,226.2,270.8
245100201002008,56,1380.7,1597.4,187.6,211.3
245100201002009,63,1429.2,1631.9,236.0,165.2
245100201002010,32,1362.5,1580.2,167.9,153.0
245100201002011,71,1332.8,1551.4,197.4,181.6
245100201002012,41,1429.6,1647.3,235.1,86.6
245100201002013,44,1514.4,1679.7,321.1,80.5
245100201002014,8,1623.3,1608.4,435.0,286.8
245100202001000,86,797.8,963.5,451.0,406.4
245100202001001,106,854.3,906.8,508.6,462.8
245100202001002,90,932.4,842.6,572.8,527.0
245100202001003,44,977.6,701.6,535.4,664.7
245100202001004,124,975.2,1083.1,330.0,284.2
245100202001005,128,1031.6,1024.5,387.6,341.8
245100202001006,98,1103.1,952.6,462.6,416.7
245100202001007,108,1145.2,994.6,495.7,449.9
245100202001008,62,1096.8,753.0,415.7,616.3
245100202001009,56,1051.3,799.9,463.1,569.6
245100202002000,149,1127.3,1234.3,177.9,164.9
245100202002001,130,1184.7,1177.6,235.2,222.2
245100202002002,185,1257.4,1106.9,309.8,296.8
245100202002003,126,1353.6,1010.3,406.3,393.3
245100202002004,40,1499.8,1156.8,370.5,357.5
245100202002005,79,1369.6,1288.3,236.8,223.8
245100202002006,66,1330.5,1323.4,197.7,184.7
245100202002007,75,1274.0,1381.0,138.9,125.9
245100202002008,79,1388.6,1495.1,253.5,236.8
245100202002009,70,1444.3,1437.2,310.2,295.8
245100202002010,105,1500.9,1409.5,366.7,325.7
245100202002011,32,1687.2,1435.8,557.8,427.8
245100202002012,49,1650.1,1398.7,520.7,390.6
245100203001000,195,1646.7,1544.6,455.7,160.0
245100203001001,20,1547.0,1645.9,353.8,58.0
245100203001002,77,1501.0,1694.3,306.5,123.1
245100203001003,44,1443.9,1661.3,308.5,177.3
245100203001004,59,1497.7,1604.1,362.6,229.9
245100203001005,62,1556.2,1549.7,421.1,288.4
245100203001006,83,1620.4,1613.9,485.3,352.6
245100203001007,13,1721.6,1379.9,592.3,462.2
245100203001009,9,1755.6,1571.2,626.2,471.5
245100203001010,102,1753.8,1569.4,624.4,469.7
245100203001011,145,1736.6,1764.1,601.5,443.4
245100203001012,47,1613.0,1719.4,477.9,320.2
245100203001013,113,1614.1,1689.1,419.6,210.0
245100203001014,44,1655.2,1537.9,462.0,141.1
245100203001015,59,1675.4,1588.7,484.4,188.7
245100203001016,24,1741.6,1454.6,550.6,230.0
245100203001018,45,1748.3,1625.1,555.0,234.1
245100203002000,65,1865.0,1334.3,735.6,595.2
245100203002001,64,1893.1,1215.6,634.5,512.3
245100203002002,40,1954.2,1156.0,575.0,451.7
245100203002003,21,1917.1,1096.2,515.2,388.8
245100203002010,9,1928.1,1331.1,750.1,508.5
245100203002011,11,1928.9,1330.3,749.3,507.8
245100203002012,19,1929.3,1400.1,799.9,583.5
245100203002013,44,1996.6,1511.9,911.2,652.0
245100203002014,118,1922.2,1442.4,861.4,577.6
245100203002015,59,1860.1,1381.4,800.3,515.5
245100203002017,65,1799.5,1320.7,739.6,454.9
245100203002018,247,1673.6,1419.3,871.8,329.0
245100203002021,120,1959.7,1554.2,973.2,676.2
245100203002022,46,1988.4,1582.9,1001.8,704.9
245100203002023,35,2059.9,1649.2,978.2,776.4
245100203002024,70,2168.1,1762.7,1136.5,884.7
